Project;Auditor;Date;Language;Security Level;Status;Vulnerability details;Type;Subtype
Ton Staking Protocol;TonBit;2024-09;Tact;Medium;Acknowledged;Missing Pause Function - The contract contains multiple pause checks but lacks the pause functionality.;Contract Design;Authorization Checks
Ton Staking Protocol;TonBit;2024-09;Tact;Medium;Acknowledged;Single-step Ownership Transfer Can be Dangerous - Single-step ownership transfer risks losing ownership if a wrong address is passed.;Contract Design;Authorization Checks
Ton Staking Protocol;TonBit;2024-09;Tact;Minor;Acknowledged;Lack of Parameter Validation - The MsgSetStart message lacks validation to ensure the end time is greater than the start time.;Contract Design;Input Data Processing
InterBridge-Ton;Beosin;2024-10;FunC;Informational;Fixed;Event Error: Incorrect event trigger in withdraw_liquidity.fc (LOG_ADD_LIQUIDITY instead of LOG_WITHDRAW_LIQUIDITY).;Best Practices;Documentation
InterBridge-Ton;Beosin;2024-10;FunC;Informational;Fixed;Redundant code in bridge_out_ft.fc and bridge_out_ton.fc (route_hash not used).;Best Practices;Documentation
InterBridge-Ton;Beosin;2024-10;FunC;Critical;Fixed;Missing permission check in relayer_execute_bridge function. Funds in the vault contract could be maliciously withdrawn.;Contract Design;Authorization Checks
InterBridge-Ton;Beosin;2024-10;FunC;Minor;Fixed;Centralization Risk: Reliance on a single relayer for cross-chain operations. If attacked funds in the vault could be extracted.;Contract Design;Contract Design and Centralization
InterBridge-Ton;Beosin;2024-10;FunC;Informational;Fixed;Event Error: Incorrect event trigger in withdraw_liquidity.fc (LOG_ADD_LIQUIDITY instead of LOG_WITHDRAW_LIQUIDITY).;Best Practices;Documentation
InterBridge-Ton;Beosin;2024-10;FunC;Informational;Fixed;Redundant code in bridge_out_ft.fc and bridge_out_ton.fc (route_hash not used).;Best Practices;Documentation
InterBridge-Ton;Beosin;2024-10;FunC;Critical;Fixed;Missing permission check in relayer_execute_bridge function. Funds in the vault contract could be maliciously withdrawn.;Contract Design;Authorization Checks
InterBridge-Ton;Beosin;2024-10;FunC;Minor;Fixed;Centralization Risk: Reliance on a single relayer for cross-chain operations. If attacked funds in the vault could be extracted.;Contract Design;Contract Design and Centralization
BeaverLand;TonBit;2024-10;FunC;Medium;Acknowledged;Batch Transaction Execution Implementation: The external message in the FoundingVault contract allows users to execute multiple transactions simultaneously. Consider using Highload-wallet v3 implementation for other parts of the contract.;Contract Design;Partial Execution of Transactions
BeaverLand;TonBit;2024-10;FunC;Informational;Acknowledged;The Code Is Not Fully Implemented: The internal message in the FundingVault contract is not fully implemented yet. TODO comments indicate missing functionality such as nonce validation and transaction handling.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Minor;Fixed;Precision Loss.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Informational;Acknowledged;Storage in Jetton_minter Protocol.;Best Practices;Documentation
TOM PUMP;TonBit;2024-10;FunC;Major;Acknowledged;When token_reserves == 0 the User's Share Calculation is Incorrect.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Medium;Acknowledged;The total_supply is Updated incorrectly when the First User Adds Liquidity.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Major;Acknowledged;Removing Liquidity Lacks Slippage Protection.;Gas Control;Moderate Handling of Gas
TOM PUMP;TonBit;2024-10;FunC;Major;Acknowledged;Fee Omission Issue in dex_minter Swap Operations.;Gas Control;Moderate Handling of Gas
TOM PUMP;TonBit;2024-10;FunC;Medium;Acknowledged;The User cannot Receive all the Extra Assets.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Medium;Acknowledged;Strict Liquidity Conditions Cause Transaction Failures.;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Major;Fixed;Proposed Fee Deductions for Minting.;Gas Control;Moderate Handling of Gas
TOM PUMP;TonBit;2024-10;FunC;Major;Acknowledged;Refunding Excess TON During Minting.;Gas Control;Moderate Handling of Gas
TOM PUMP;TonBit;2024-10;FunC;Major;Fixed;When op = burn the Protocol's Calculation of reserve_return is Incorrect;Common Errors;Logical Errors
TOM PUMP;TonBit;2024-10;FunC;Major;Fixed;Minting and Burning Lack Slippage Protection.;Gas Control;Moderate Handling of Gas
TOM PUMP;TonBit;2024-10;FunC;Major;Acknowledged;Centralization Risk.;Contract Design;Contract Design and Centralization
TOM PUMP;TonBit;2024-10;FunC;Medium;Acknowledged;Single-step Ownership Transfer Can be Dangerous.;Contract Design;Authorization Checks
TOM PUMP;TonBit;2024-10;FunC;Medium;Fixed;The Calculation of Tokens during Minting is Incorrect.;Common Errors;Logical Errors
UTonic;TonBit;2024-10;FunC;Medium;Fixed;Fee calculation error in the withdraw contract.;Common Errors;Logical Errors
UTonic;TonBit;2024-10;FunC;Major;Fixed;Centralization Risk: Admin can arbitrarily upgrade the contract and modify prices.;Contract Design;Contract Design and Centralization
UTonic;TonBit;2024-10;FunC;Major;Fixed;Front-running the price update allows users to consistently make a profit.;Common Errors;Logical Errors
UTonic;TonBit;2024-10;FunC;Medium;Fixed;Single-step ownership transfer can be dangerous if the wrong address is passed.;Contract Design;Authorization Checks
UTonic;TonBit;2024-10;FunC;Minor;Fixed;Restrict proxy_id to proxies capable of handling burn messages.;Contract Design;Authorization Checks
UTonic;TonBit;2024-10;FunC;Major;Fixed;Failure to refund user’s LST Ton on operation failure.;Contract Design;Partial Execution of Transactions
Hipo Finance;TonTech;2024-10;FunC;Minor;Unresolved;Potentially inconsistent timestamp calculation: The get_times function in treasury.fc may become invalid if elections_start_before and elections_end_before differ by less than 600 seconds.;Contract Design;Logical Errors
Hipo Finance;TonTech;2024-10;FunC;Minor;Resolved;Incorrect sort key calculation: The request_sort_key function in utils.fc may affect sorting order due to incorrect bit manipulation.;Contract Design;Logical Errors
Hipo Finance;TonTech;2024-10;FunC;Minor;Unresolved;Missing late participation check: The participate_in_election function in treasury.fc lacks a check to prevent late participation.;Contract Design;Authorization Checks
Hipo Finance;TonTech;2024-10;FunC;Minor;Resolved;Missing sender checks: The stake_coins and withdraw_tokens functions in wallet.fc do not check their sender.;Contract Design;Authorization Checks
Hipo Finance;TonTech;2024-10;FunC;Informational;Resolved;Extraneous impure modifiers: Some functions in utils.fc do not need the impure modifier.;Best Practices;Compliance with Standards
TONCO;Beosin;2024-11;Func;Minor;Acknowledged;Incentive calculation flaws: Asynchronous message processing may lead to incorrect reward calculations due to feeGrowthInside0X128 updates.;Asynchronous Execution;Key Considerations
TONCO;Beosin;2024-11;Func;Minor;Acknowledged;Lack of Lock function: The `is_locked` variable in the router contract is defined but lacks a function to modify it.;Common Errors;Smart Contract Update
TONCO;Beosin;2024-11;Func;Informational;Acknowledged;The pool can be initialized multiple times: No mechanism prevents repeated initialization, leading to inconsistent pool states.;Common Errors;Smart Contract Update
TONCO;Beosin;2024-11;Func;Informational;Acknowledged;Poor calibration: Lack of strict checking in swap and add liquidity functions may result in user fund loss.;Common Errors;Logical Errors
TONCO;Beosin;2024-11;Func;Informational;Acknowledged;Redundant code: Unused hash calculations in `getChildContracts` and `getPoolInitialData` functions.;Best Practices;Documentation
CryptoBillions;BugBlow;2024-11;FunC;Medium;acknowledged;Unfair distribution of shares due to integer division in share allocation formula. If jetton_amount < 10000/percent shareholder_amount results in 0.;Common Errors;Logical Errors
CryptoBillions;BugBlow;2024-11;FunC;Minor;acknowledged;Insufficient gas calculation for distribution transactions. Formula fails to account for cumulative gas consumption of all transfer transactions.;Gas Control;Moderate Handling of Gas
CryptoBillions;BugBlow;2024-11;FunC;Minor;Acknowledged;"Operation code mismatch between shareholder contract and jetton wallet. Extra ""0"" in the operation code causes potential issues.";Common Errors;Parsing and Serialization
FDUSD on TON;Quantstamp;2024-12;FunC;None;No;No;NA;NA
Boxing Star X Wallet;BugBlow;2025-02;FunC;Minor;Acknowledged;Excess gas is not returned to the sender leading to inefficiencies.;Gas Control;Moderate Handling of Gas
Boxing Star X Wallet;BugBlow;2025-02;FunC;Critical;Fixed;Missing validation in transfer_notification() allows unauthorized calls potentially fooling off-chain systems.;Contract Design;Authorization Checks
Boxing Star X Wallet;BugBlow;2025-02;FunC;Critical;Fixed;Single-price model for TON and Jetton implies 1:1 equivalence leading to under/overcharging.;Common Errors;Logical Errors
Boxing Star X Wallet;BugBlow;2025-02;FunC;Major;Acknowledged;Owner can change prices at the last moment causing buyers to pay more than expected.;Common Errors;Public Nature of Blockchain
Boxing Star X Wallet;BugBlow;2025-02;FunC;Medium;Acknowledged;No refund mechanism for overpayments or errors;Contract Design;Input Data Processing
Boxing Star X Wallet;BugBlow;2025-02;FunC;Medium;Fixed;Buying items with 0 quantity is allowed potentially exploiting off-chain logic.;Contract Design;Input Data Processing
Boxing Star X Wallet;BugBlow;2025-02;FunC;Minor;Fixed;Limited number of game items due to TON's cell and dictionary limitations.;Possible Errors in FunC;Storage Management
